id,t,activator,inhibitor
26,40.0,0.415183,5.985972
27,0.0,3.820662,8.684374
27,0.4,1.897871,8.72035
27,0.8,0.27468,8.433409
27,1.2,0.282703,8.208785
27,1.6,0.291638,7.985524
27,2.0,0.301143,7.763688
27,2.4,0.311273,7.54337
27,2.8,0.322094,7.324675
27,3.2,0.333679,7.107717
27,3.6,0.346113,6.892623
27,4.0,0.359495,6.679535
27,4.4,0.373939,6.468611
27,4.8,0.389581,6.260033
27,5.2,0.406581,6.054002
27,5.6,0.42513,5.850751
27,6.0,0.44546,5.650546
27,6.4,0.467853,5.453696
27,6.8,0.49266,5.260562
27,7.2,0.520321,5.071571
27,7.6,0.5514,4.887235
27,8.0,0.586636,4.708172
27,8.4,0.627016,4.535153
27,8.8,0.673904,4.369147
27,9.2,0.729241,4.211412
27,9.6,0.795905,4.063633
27,10.0,0.878341,3.92815
27,10.4,0.983702,3.808359
27,10.8,1.123789,3.709394
27,11.2,1.317538,3.639202
27,11.6,1.590766,3.609657
27,12.0,1.963474,3.635911
27,12.4,2.422171,3.731438
27,12.8,2.909787,3.901003
27,13.2,3.355712,4.138267
27,13.6,3.708197,4.428879
27,14.0,3.94144,4.754664
27,14.4,4.047537,5.096392
27,14.8,4.026294,5.434924
27,15.2,3.876602,5.751053
27,15.6,3.587351,6.024046
27,16.0,3.12005,6.22773
27,16.4,2.349871,6.318568
27,16.8,0.869858,6.193599
27,17.2,0.415706,5.968008
27,17.6,0.433476,5.765931
27,18.0,0.454634,5.5671
27,18.4,0.477997,5.37177
27,18.8,0.503948,5.180327
27,19.2,0.532973,4.993231
27,19.6,0.565703,4.811036
27,20.0,0.60297,4.634418
27,20.4,0.645901,4.464224
27,20.8,0.696071,4.301532
27,21.2,0.755762,4.147759
27,21.6,0.828412,4.004831
27,22.0,0.91943,3.875471
27,22.4,1.03764,3.763702
27,22.8,1.197568,3.675695
27,23.2,1.421519,3.620955
27,23.6,1.735519,3.613024
27,24.0,2.148922,3.667216
27,24.4,2.628523,3.794051
27,24.8,3.106543,3.993506
27,25.2,3.517782,4.255323
27,25.6,3.821847,4.563089
27,26.0,4.001772,4.897947
27,26.4,4.054061,5.240649
27,26.8,3.97912,5.572112
27,27.2,3.772928,5.872761
27,27.6,3.416003,6.120281
27,28.0,2.846029,6.283588
27,28.4,1.845178,6.301643
27,28.8,0.458631,6.08886
27,29.2,0.42223,5.882381
27,29.6,0.442149,5.681674
27,30.0,0.464198,5.484277
27,30.4,0.4886,5.290535
27,30.8,0.515781,5.100864
