id,t,x,y
56,3.4,-1.43799,-1.741076
56,3.6,-1.042377,-1.952609
56,3.8,-0.621133,-2.078781
56,4.0,-0.191891,-2.11796
57,0.0,0.800423,2.228764
57,0.2,0.334921,2.296956
57,0.4,-0.125548,2.271817
57,0.6,-0.563007,2.157998
57,0.8,-0.961092,1.96347
57,1.0,-1.305637,1.699073
57,1.2,-1.58514,1.377983
57,1.4,-1.791122,1.015096
57,1.6,-1.918334,0.626373
57,1.8,-1.964845,0.228169
57,2.0,-1.931983,-0.163427
57,2.2,-1.824156,-0.533219
57,2.4,-1.648561,-0.867467
57,2.6,-1.414784,-1.154371
57,2.8,-1.134334,-1.384465
57,3.0,-0.82011,-1.550894
57,3.2,-0.485838,-1.649587
57,3.4,-0.145496,-1.679303
57,3.6,0.187243,-1.641574
57,3.8,0.499546,-1.540535
57,4.0,0.779887,-1.382654
58,0.0,1.822032,-1.88058
58,0.2,2.116567,-1.45179
58,0.4,2.316016,-0.982513
58,0.6,2.416235,-0.492857
58,0.8,2.417159,-0.002948
58,1.0,2.322645,0.467868
58,1.2,2.140166,0.901759
58,1.4,1.880372,1.283046
58,1.6,1.55655,1.598743
58,1.8,1.183989,1.838963
58,2.0,0.779306,1.997182
58,2.2,0.359731,2.070372
58,2.4,-0.05759,2.058978
58,2.6,-0.456276,1.966766
58,2.8,-0.821321,1.800544
58,3.0,-1.139637,1.569775
58,3.2,-1.400492,1.286097
58,3.4,-1.595844,0.962782
58,3.6,-1.720551,0.614144
58,3.8,-1.772461,0.254936
58,4.0,-1.752379,-0.10025
59,0.0,2.355354,0.236053
59,0.2,2.21673,0.685433
59,0.4,1.99605,1.090139
59,0.6,1.705242,1.435952
59,0.8,1.358533,1.71153
59,1.0,0.971799,1.908752
59,1.2,0.561872,2.022906
59,1.4,0.145842,2.052743
59,1.6,-0.259632,2.000391
59,1.8,-0.638961,1.871139
59,2.0,-0.978197,1.673104
59,2.2,-1.265525,1.416799
59,2.4,-1.491639,1.114625
59,2.6,-1.650014,0.780305
59,2.8,-1.737056,0.428297
59,3.0,-1.752126,0.073186
59,3.2,-1.697452,-0.27089
59,3.4,-1.577925,-0.590783
59,3.6,-1.400806,-0.874817
59,3.8,-1.175345,-1.113186
59,4.0,-0.912334,-1.298273
60,0.0,1.844641,2.376548
60,0.2,1.309283,2.64227
60,0.4,0.74324,2.793287
60,0.6,0.170056,2.828137
60,0.8,-0.387365,2.749997
60,1.0,-0.907642,2.566383
60,1.2,-1.371696,2.288677
60,1.4,-1.763417,1.931529
60,1.6,-2.070179,1.51215
60,1.8,-2.283206,1.049532
60,2.0,-2.397767,0.563629
60,2.2,-2.413199,0.074532
60,2.4,-2.332781,-0.39833
60,2.6,-2.163444,-0.83693
60,2.8,-1.915359,-1.2253
60,3.0,-1.601405,-1.550082
60,3.2,-1.236556,-1.80095
60,3.4,-0.837207,-1.970902
60,3.6,-0.420472,-2.056401
60,3.8,-0.003482,-2.057385
60,4.0,0.397296,-1.977128
61,0.0,-1.091979,-2.339688
61,0.2,-0.593407,-2.460293
61,0.4,-0.090963,-2.479064
61,0.6,0.395371,-2.399255
61,0.8,0.847032,-2.227879
61,1.0,1.247552,-1.975292
61,1.2,1.58313,-1.654647
61,1.4,1.843066,-1.281268
61,1.6,2.020068,-0.871959
61,1.8,2.1104,-0.444283
61,2.0,2.113897,-0.015841
61,2.2,2.033824,0.396428
61,2.4,1.876618,0.776886
61,2.6,1.651509,1.111764
61,2.8,1.370044,1.389632
61,3.0,1.045541,1.601758
61,3.2,0.692495,1.742349
61,3.4,0.325961,1.808659
61,3.6,-0.039068,1.800984
61,3.8,-0.388242,1.722528
61,4.0,-0.708402,1.579162
62,0.0,-1.632389,-0.437353
62,0.2,-1.483006,-0.738028
62,0.4,-1.280948,-0.997786
62,0.6,-1.036255,-1.207977
62,0.8,-0.760257,-1.36225
62,1.0,-0.465075,-1.456708
62,1.2,-0.16311,-1.489969
62,1.4,0.133453,-1.463118
62,1.6,0.41312,-1.379573
62,1.8,0.665517,-1.244855
62,2.0,0.881751,-1.066285
62,2.2,1.054705,-0.852633
62,2.4,1.17925,-0.613706
62,2.6,1.252369,-0.359924
62,2.8,1.273192,-0.101888
62,3.0,1.242947,0.150053
62,3.2,1.164831,0.386193
62,3.4,1.043803,0.597832
62,3.6,0.886324,0.777577
62,3.8,0.700037,0.919585
62,4.0,0.493425,1.01973
63,0.0,1.908089,2.164383
63,0.2,1.41155,2.450807
63,0.4,0.878768,2.629271
63,0.6,0.332193,2.696965
63,0.8,-0.206064,2.655559
63,1.0,-0.715082,2.510965
63,1.2,-1.17592,2.272937
63,1.4,-1.572277,1.954532
63,1.6,-1.891038,1.571469
63,1.8,-2.122664,1.141402
63,2.0,-2.26143,0.683148
63,2.2,-2.3055,0.215899
63,2.4,-2.256847,-0.241551
63,2.6,-2.121028,-0.671532
63,2.8,-1.90682,-1.058149
63,3.0,-1.625751,-1.387844
63,3.2,-1.291537,-1.649835
63,3.4,-0.919453,-1.836438
63,3.6,-0.525667,-1.943243
63,3.8,-0.126575,-1.969163
63,4.0,0.261866,-1.916347
64,0.0,-2.958287,0.064484
64,0.2,-2.854469,-0.514129
64,0.4,-2.64206,-1.049764
64,0.6,-2.333702,-1.522964
64,0.8,-1.945325,-1.917501
64,1.0,-1.495398,-2.220889
64,1.2,-1.004091,-2.424725
64,1.4,-0.492417,-2.524869
64,1.6,0.01863,-2.521434
64,1.8,0.508904,-2.418617
64,2.0,0.959869,-2.224371
64,2.2,1.355267,-1.949949
64,2.4,1.681672,-1.609325
64,2.6,1.928907,-1.21854
64,2.8,2.090316,-0.794982
64,3.0,2.162895,-0.356655
64,3.2,2.147262,0.078563
64,3.4,2.047493,0.493615
64,3.6,1.870824,0.872911
64,3.8,1.627244,1.202884
64,4.0,1.328989,1.472442
65,0.0,-0.495534,-1.667353
65,0.2,-0.151352,-1.698259
65,0.4,0.18531,-1.660924
65,0.6,0.501457,-1.5595
65,0.8,0.785416,-1.400501
65,1.0,1.027243,-1.192461
65,1.2,1.219044,-0.945513
65,1.4,1.355211,-0.67093
65,1.6,1.432551,-0.380632
65,1.8,1.450318,-0.086693
65,2.0,1.410146,0.199142
65,2.2,1.315894,0.46591
65,2.4,1.1734,0.70383
65,2.6,0.990181,0.904642
65,2.8,0.775065,1.061876
65,3.0,0.537793,1.171034
65,3.2,0.288597,1.229693
65,3.4,0.037783,1.237518
65,3.6,-0.204689,1.196193
65,3.8,-0.429575,1.109277
65,4.0,-0.628689,0.981987
66,0.0,-2.280808,-0.974309
66,0.2,-2.001354,-1.38013
66,0.4,-1.653866,-1.715567
66,0.6,-1.254728,-1.970141
66,0.8,-0.821717,-2.136976
66,1.0,-0.373252,-2.212925
66,1.2,0.072361,-2.198556
66,1.4,0.497646,-2.097977
66,1.6,0.886615,-1.918537
66,1.8,1.225339,-1.670411
66,2.0,1.50242,-1.366085
66,2.2,1.709339,-1.019774
66,2.4,1.84068,-0.646793
66,2.6,1.894222,-0.262908
66,2.8,1.870903,0.116302
66,3.0,1.774656,0.476054
66,3.2,1.61214,0.802911
66,3.4,1.392367,1.085262
66,3.6,1.126257,1.313709
66,3.8,0.826129,1.481349
66,4.0,0.505162,1.58395
67,0.0,2.657458,-1.060782
67,0.2,2.759487,-0.501558
67,0.4,2.748602,0.055536
67,0.6,2.629661,0.588595
67,0.8,2.411595,1.077523
67,1.0,2.106897,1.504752
67,1.2,1.730989,1.855839
67,1.4,1.301501,2.119914
67,1.6,0.837485,2.289964
67,1.8,0.358607,2.362966
67,2.0,-0.115648,2.339843
67,2.2,-0.566743,2.225276
67,2.4,-0.977783,2.027373
67,2.6,-1.334115,1.757213
67,2.8,-1.62382,1.42829
67,3.0,-1.838076,1.055891
67,3.2,-1.971386,0.65642
67,3.4,-2.021661,0.246703
67,3.6,-1.990173,-0.156686
67,3.8,-1.88137,-0.538075
67,4.0,-1.702578,-0.883273
68,0.0,0.112744,1.218114
68,0.2,-0.128898,1.19215
68,0.4,-0.355979,1.120151
68,0.6,-0.560106,1.006765
68,0.8,-0.734122,0.858089
68,1.0,-0.872341,0.681375
68,1.2,-0.970711,0.484697
68,1.4,-1.026911,0.276601
68,1.6,-1.040377,0.065746
68,1.8,-1.012253,-0.139436
68,2.0,-0.945279,-0.33107
68,2.2,-0.843623,-0.502123
